# clip | Devanagari transcript  (⟨word⟩ = Whisper low-confidence, please verify)
# Source: Whisper large-v3 hi-pass (acoustic). Perso-Arabic reference in transcripts_review.tsv.
clip_01.wav | असलामुलेकुम मेरा नाम अनुवर है आज मैं अपनी वास की रिकोर्डिंग कर रहा हूँ ताकि इसे एक टेस्ट के लिए इस्तेमाल किया जा सके
clip_02.wav | आज मौसम काफी अच्छा है इसलिए मेरा दिल कर रहा है कि शाम को थोड़ी देर पाहर जाओं और कुछ ताजा हवा खाओं
clip_03.wav | अगर तुम्हें फारिक वक्त मेरे तो मुझे फोन कर लेना हम कहीं भाई खाना खाने चलते हैं और थोड़ी देर गपशब भी कर लेंगे
clip_04.wav | मुझे सुबह जल्दी उठना पसंद नहीं है लेकिन जब काम ज्यादा हो तो फिर वक्त पर उठना ही पड़ता है।
clip_05.wav | कल मैं दफटर से वापिस आ रहा था तो रास्ते में मुझे एक पुराना दोस्त मिल गया काफी अरसे बाद मुलाकात हुई इसलिए हम कुछ देर वहीं खड
clip_06.wav | तुमने जो कल मुझे फाइल भेजी थी मैंने इसे देख लिया है इसमें चंद छोटी छोटी तबदीलियां करनी है फिर ये बिलकुल ठीक हो जाएगी
clip_07.wav | अगर हम ये काम आज मकुमल कर लेते हैं तो कल हमें इतनी जल्दी नहीं करनी पड़ेगी पेटर है कि जो काम सामने है इसे पहले खतम कर लिया जाएँ
clip_08.wav | मुझे नई चीज़ा सीखना अच्छा लगता है खास तो अपने जब कोई मुश्किल मसला हो और काफी कोशिश के बाद इसका हल बिल जाए।
clip_09.wav | कभी कभी इनसान बहुत ज्यादा सोचता रहता है हला ⟨कि⟩ मसला इतना बड़ा नहीं होता ऐसे वक्त में थोड़ा वक्फा लेकर दुबारा काम शुरू करना ब
clip_10.wav | मैंने आज सुबह काफी पी पिर कुछ देर अपने काम पर तवज्जा दी दुपहर के बाद मैंने अपने बाकी काम मुकमल किये और शाम को थोड़ा आराम क
clip_11.wav | पाकिस्तान में मुख्तिफ लकों के लोगों के बोलने का अंदास अलग अलग होता है लेकिन उर्दू ऐसी जबान है जिसे तक्रीबन हर जगा असानी से सम�
clip_12.wav | मुझे अमीद है कि ये तजरबा काम्याब होगा और हम ऐसी अवाफ त्यार कर सकेंगे जो कुदरती भी लगे और मेरी अपनी अवाफ के काफी करीब भी ⟨हो�⟩
clip_13.wav | फर्स करो कि तुम्हें किसी दोस्त को रस्ता समझाना है तुम इसे बताओगे कि पहले सिदा जाना है फिर दाएं तरफ मुढना है और कुछ फासले बाद मं
clip_14.wav | आज मैंने काफी काम किया है इसलिए अब थोड़ा आराम करने का एरादा है कल दुपारा सुबह उठ कर बाकी काम मुकमल करूँगा
clip_15.wav | आखिर में बस इतना कहना है कि अच्छी चीज बनाने के लिए वक्त, मेनत और बार बार कोशिश करना जुरूरी ⟨है,⟩ पहले कोशिश हमेशा बेटरी नहीं होत
